snr_db,ComNet-CE,LMMSE,LS
0.0,-3.523651771906678,-3.526006389276215,2.916882911740657
5.0,-8.406229367064915,-8.413804821742122,-2.0821333904219346
10.0,-13.058942214189697,-13.076515961451278,-7.078995823559099
15.0,-17.163527546469954,-17.154636311147723,-12.069052051864828
20.0,-20.699543218135673,-20.698936346915215,-17.037696429734297
25.0,-24.086384594400414,-24.174654586265625,-21.93987812442456
30.0,-27.670679500068754,-27.90314690438943,-26.644084700512916
35.0,-31.67583692089316,-32.178202137647354,-30.822373006841076
40.0,-35.29538317934858,-36.8968118333783,-33.932401004033956
