snr_db,ComNet-CE,LMMSE,LS
0.0,-1.2168983946944436,-1.2192528579723145,5.223636197626789
5.0,-6.099475838783786,-6.107051303801926,0.22461988505194935
10.0,-10.752188913822076,-10.769762689926408,-4.772242283655105
15.0,-14.856773934460447,-14.847883095564757,-9.76229862945917
20.0,-18.3927897166838,-18.392182990277053,-14.730943223835407
25.0,-21.77963131396066,-21.86790104863015,-19.633124846798122
30.0,-25.36392624449931,-25.596393382153117,-24.337331228030585
35.0,-29.369083721036,-29.87144890202527,-28.515619754945753
40.0,-32.98862991404897,-34.59005840237115,-31.62564770797394
