epoch,train_loss,val_loss,lr
1.0,0.004378062479645014,0.004686861764639616,0.001
2.0,0.004376311367675662,0.0046867127530276775,0.001
3.0,0.0043763077765703205,0.0046868096105754375,0.001
4.0,0.004376245941966772,0.004686781670898199,0.001
5.0,0.004376260128468275,0.004686838947236538,0.001
6.0,0.004375942330211401,0.0046883695758879185,0.001
7.0,0.004375642918795347,0.004687038250267506,0.001
8.0,0.004376414081007242,0.0046868049539625645,0.001
9.0,0.0043767146014422175,0.004686961881816387,0.001
10.0,0.004376430916339159,0.004686984233558178,0.001
11.0,0.004376257798522711,0.004687045235186815,0.001
12.0,0.004376292337477207,0.004686915781348944,0.001
13.0,0.004376274897903204,0.004686937667429447,0.001
14.0,0.004376313583701849,0.004686887376010418,0.001
15.0,0.004376343096941709,0.004686913453042507,0.001
16.0,0.004376372964382171,0.004686830565333366,0.001
17.0,0.004376324160397052,0.004686639178544283,0.001
18.0,0.004376330096870661,0.004686802625656128,0.001
19.0,0.004376338754296303,0.004686988890171051,0.001
20.0,0.004376337202489376,0.004687006585299969,0.001
21.0,0.00437636680059135,0.0046869139187037945,0.001
22.0,0.004376322378814221,0.004686710424721241,0.001
23.0,0.004376353504508734,0.004686832427978516,0.001
24.0,0.00437635675162077,0.004686778876930475,0.001
25.0,0.004376318092942238,0.004686844535171986,0.0005
26.0,0.004375670694112778,0.004686177708208561,0.0005
27.0,0.004375646554082632,0.004686164669692516,0.0005
28.0,0.004375664764642715,0.00468610692769289,0.0005
29.0,0.0043756794500350955,0.004686195403337479,0.0005
30.0,0.004375670949071646,0.004686122760176659,0.0005
31.0,0.004375650818794966,0.004686170257627964,0.0005
32.0,0.004375665929764509,0.004686132539063692,0.0005
33.0,0.004375673904567957,0.004686149302870035,0.0005
34.0,0.0043756797951459885,0.00468610692769289,0.0005
35.0,0.004375664506852627,0.004686137195676565,0.0005
36.0,0.0043756646395474675,0.004686127416789532,0.0005
37.0,0.004375671050995588,0.00468613114207983,0.0005
38.0,0.004375687506943941,0.004686159547418356,0.0005
39.0,0.004375662204474211,0.004686151631176472,0.0005
40.0,0.004375663507133722,0.004686159547418356,0.0005
41.0,0.004375662876665592,0.004686133470386267,0.0005
42.0,0.004375673408806324,0.004686187487095594,0.0005
43.0,0.0043756588388979435,0.0046861921437084675,0.0005
44.0,0.004375662526041269,0.004686194472014904,0.0005
45.0,0.004375637976974249,0.004686231724917889,0.0005
46.0,0.004375658739060164,0.004686164204031229,0.0005
47.0,0.004375675461441278,0.004686140920966864,0.0005
48.0,0.004375666346251965,0.004686135798692703,0.0005
49.0,0.004375662897229194,0.004686212167143822,0.0005
50.0,0.004375695023238659,0.00468622799962759,0.00025
