snr_db,ComNet-CE,LMMSE,LS
0.0,-1.3705718021589643,-1.3733232473311408,5.221117920343746
5.0,-6.2575991612230695,-6.266270630123283,0.22111860807892686
10.0,-10.922749261356952,-10.944145987898162,-4.778878967850647
15.0,-15.053584880687493,-15.059048475512144,-9.778880284876742
20.0,-18.56143655291436,-18.62432322515897,-14.77887809265572
25.0,-21.879228213680406,-22.129972103374563,-19.77887459590337
30.0,-25.473501920410804,-25.861940983190507,-24.778880037533572
35.0,-29.90502958537938,-30.110965508562934,-29.77887968907175
40.0,-34.77563087542548,-34.79895946633545,-34.77888125308267
