snr_db,ComNet-CE,LMMSE,LS
0.0,-3.6780248220887417,-3.6807761365698983,2.913664911297556
5.0,-8.565052079367803,-8.573723628706931,-2.0863346147372437
10.0,-13.230202326033849,-13.251599170543038,-7.086331965943293
15.0,-17.36103783281336,-17.36650140971141,-12.086333204018334
20.0,-20.8688895027816,-20.9317762041689,-17.086330930334885
25.0,-24.186681354879532,-24.43742518358262,-22.08632766191277
30.0,-27.780955005380733,-28.169393939422957,-27.086332921889735
35.0,-32.212482787907966,-32.418418419102565,-32.086332542744
40.0,-37.08308385705464,-37.10641244836585,-37.08633416661198
