epoch,train_loss,val_loss,val_ber,lr
1.0,0.11721148468494415,0.025437019765377045,0.012253515422344208,0.001
2.0,0.01540679054260254,0.011910888366401196,0.011276107281446457,0.001
3.0,0.010645927143990994,0.010360991582274437,0.01115045603364706,0.001
4.0,0.009739915938377381,0.009826308116316795,0.011068684980273247,0.001
5.0,0.009378883493542671,0.009626735933125019,0.011095898225903511,0.001
6.0,0.009183415877968074,0.009446883574128151,0.011049154214560986,0.001
7.0,0.009065889737308026,0.00934290699660778,0.011033138260245323,0.001
8.0,0.008980998771190643,0.009323669597506523,0.01106582023203373,0.001
9.0,0.008921008139550686,0.00922913383692503,0.011009049601852894,0.001
10.0,0.00887752090960741,0.009193407371640205,0.011017187498509884,0.001
11.0,0.00882164285928011,0.009132307022809982,0.011029361747205257,0.001
12.0,0.008753336661458016,0.009065551683306694,0.011046940460801125,0.001
13.0,0.008683111741244793,0.009010083973407745,0.010994596406817436,0.001
14.0,0.008601950416564941,0.008883603848516941,0.011039583012461662,0.001
15.0,0.008527308265864848,0.00881345197558403,0.011051627807319164,0.001
16.0,0.008447677919566632,0.008762713521718979,0.011082552373409271,0.001
17.0,0.008372726142406464,0.008663886226713657,0.011069596745073795,0.001
18.0,0.008300747272372245,0.0086204269900918,0.011098893359303474,0.001
19.0,0.008240764938592911,0.008564074523746967,0.011075325310230255,0.001
20.0,0.008184463010430337,0.008506393991410732,0.011053645983338356,0.001
21.0,0.008141328435838223,0.00846586748957634,0.011094791814684868,0.001
22.0,0.008099064450263977,0.008435999043285847,0.011107226833701134,0.001
23.0,0.008066768175661564,0.008384833112359047,0.011090625077486038,0.001
24.0,0.008031978746056557,0.008390066213905811,0.011044075712561607,0.001
25.0,0.008002366481274366,0.008332866244018078,0.011038086377084255,0.001
26.0,0.007979106476306915,0.008340109139680862,0.01110201794654131,0.001
27.0,0.007952814869880677,0.008289890363812447,0.011028124950826168,0.001
28.0,0.007924517652392387,0.008280172944068909,0.010983593761920929,0.001
29.0,0.007912377796322107,0.008242189884185791,0.011020507663488388,0.001
30.0,0.007890743705332279,0.008296584710478783,0.010977018624544144,0.001
31.0,0.00786390097156167,0.008192870765924454,0.010986328125,0.001
32.0,0.007855011536180973,0.008171545341610909,0.010983007960021496,0.001
33.0,0.007836932904422283,0.008151303045451641,0.010969270952045918,0.001
34.0,0.007813626085221768,0.008139858022332191,0.010981380008161068,0.001
35.0,0.007809665030986071,0.008168899454176426,0.010975716635584831,0.001
36.0,0.007785865202397108,0.008107018657028675,0.010959635488688946,0.001
37.0,0.007775181762576103,0.008075296878814697,0.010938672348856926,0.001
38.0,0.007760180294066668,0.008076918311417103,0.010929036885499954,0.001
39.0,0.007741070169955492,0.008081103675067425,0.01094739604741335,0.001
40.0,0.007746874500513077,0.00806803535670042,0.010965104214847088,0.001
41.0,0.007720454524308443,0.008041909895837307,0.010947135277092457,0.001
42.0,0.007702881914377213,0.008032557554543018,0.010945637710392475,0.001
43.0,0.007694365078508854,0.008030942641198635,0.010951627977192402,0.001
44.0,0.00767648099258542,0.008056621067225933,0.010952929966151714,0.001
45.0,0.007680203701257706,0.00799258891493082,0.010931900702416897,0.001
46.0,0.007668437333106994,0.008004570379853249,0.010910221375524998,0.001
47.0,0.007683540224134922,0.007971024140715599,0.010929296724498272,0.001
48.0,0.007656058914810419,0.007983784191310406,0.010929361917078495,0.001
49.0,0.007637129332870245,0.008035384118556976,0.01092259120196104,0.001
50.0,0.00764217029094696,0.007990255020558834,0.010922135785222054,0.001
51.0,0.007621766509115696,0.007949849590659142,0.010924609377980232,0.001
52.0,0.007613184745907784,0.007946144789457321,0.010912694968283176,0.001
53.0,0.007615030419528484,0.007927071303129196,0.010923242196440697,0.001
54.0,0.007611088328659535,0.007936161011457443,0.010936588980257511,0.001
55.0,0.007593568800091743,0.007928658276796341,0.010916732251644135,0.001
56.0,0.007593515928685665,0.007949598133563995,0.01092454418540001,0.001
57.0,0.007578693981170654,0.00796840712428093,0.010903450660407543,0.001
58.0,0.00758593666523695,0.007923021912574768,0.0109041016548872,0.001
59.0,0.007572264876961708,0.007986510172486305,0.01098580751568079,0.001
60.0,0.007571969034820795,0.007903505116701126,0.010917577892541885,0.001
61.0,0.007561610704958439,0.007892581634223461,0.010918685235083103,0.001
62.0,0.007566083518862724,0.007899432443082333,0.010900716297328472,0.001
63.0,0.007549134537130594,0.007884945720434189,0.010899023152887821,0.001
64.0,0.007556313819885254,0.007984091527760029,0.010955403558909893,0.001
65.0,0.0075486246562004086,0.007879839278757572,0.010899804532527924,0.001
66.0,0.007536613511145115,0.007874369621276855,0.010905403643846512,0.001
67.0,0.007527448806613684,0.007880467921495438,0.010917252860963345,0.001
68.0,0.007538381228744983,0.00787550862878561,0.01091842446476221,0.001
69.0,0.007530821901857853,0.007895447313785553,0.010880273766815662,0.001
70.0,0.0075372395898401735,0.007896183989942074,0.010896810330450535,0.001
71.0,0.007522790801525116,0.007862290367484093,0.010895443148911,0.001
72.0,0.00751397267460823,0.00785890594124794,0.010896224528551102,0.001
73.0,0.007512974316179752,0.007867105305194855,0.010915039107203484,0.001
74.0,0.007514022073894739,0.007861172780394554,0.010914192534983158,0.001
75.0,0.00750568430095911,0.007861843332648277,0.010907291434705257,0.001
76.0,0.0075049945524334905,0.007867406122386456,0.010908203199505806,0.001
77.0,0.007500714497864247,0.007848956622183323,0.010896159335970879,0.001
78.0,0.007495103679150343,0.007850712165236473,0.010893750004470348,0.001
79.0,0.007493901883661747,0.007863519713282585,0.010886458680033684,0.001
80.0,0.007493785575926304,0.007858951576054096,0.010896939784288406,0.001
81.0,0.007486369362622499,0.007841698825359344,0.01090045552700758,0.001
82.0,0.007485301895439625,0.007853345014154911,0.010914518497884274,0.001
83.0,0.007493076441586017,0.007848493754863739,0.010894792154431343,0.001
84.0,0.007477491378039122,0.007835354655981064,0.01088743470609188,0.001
85.0,0.007482969380319118,0.007828472182154655,0.010881835594773293,0.001
86.0,0.007473735357224941,0.007836778648197651,0.010882096365094185,0.001
87.0,0.007479639137089253,0.007837594486773014,0.010901432484388351,0.001
88.0,0.0074799584326148034,0.007882986217737198,0.010857942514121532,0.001
89.0,0.007468050629496574,0.007839936763048172,0.010903776623308659,0.001
90.0,0.007467931352257729,0.007859723642468452,0.010914908722043037,0.001
91.0,0.007474215452820063,0.007832180708646774,0.010883073322474957,0.001
92.0,0.007461919189542532,0.007837802171707153,0.010902930051088333,0.001
93.0,0.0074595516610145565,0.007842009887099266,0.010900000110268593,0.001
94.0,0.007462459974884987,0.007876807823777199,0.010860417038202286,0.001
95.0,0.007458309111893177,0.007836337201297283,0.01088294293731451,0.001
96.0,0.007458858137428761,0.007855703122913837,0.01090266928076744,0.001
97.0,0.007453558910191059,0.007898356765508652,0.010883854702115059,0.001
98.0,0.007448394427001476,0.007825123146176338,0.010891731828451157,0.001
99.0,0.007456193808168173,0.007821755483746529,0.01087363250553608,0.001
100.0,0.007445134659707546,0.007816041819751263,0.01086718775331974,0.0005
101.0,0.0074033177255094056,0.007799333892762661,0.010874154046177864,0.0005
102.0,0.007399814246743917,0.007802288047969341,0.0108755212277174,0.0005
103.0,0.007402734495550394,0.007806199137121439,0.010845507495105267,0.0005
104.0,0.007402193211615085,0.007835067808628082,0.010846810415387154,0.0005
105.0,0.007401586074978113,0.007821095176041126,0.010860742069780827,0.0005
106.0,0.007396263132989407,0.007792040705680847,0.010863411240279675,0.0005
107.0,0.007397109251469374,0.007788933347910643,0.010861002840101719,0.0005
108.0,0.007395250421613455,0.007789288647472858,0.010854101739823818,0.0005
109.0,0.00739582101598382,0.007808922324329615,0.010847005061805248,0.0005
110.0,0.007390550822019577,0.007802576757967472,0.010869075544178486,0.0005
111.0,0.0073961827531456945,0.007788627874106169,0.010852213948965073,0.0005
112.0,0.007392805667072535,0.007794829085469246,0.010855859145522118,0.0005
113.0,0.007389061162471771,0.007798843551427126,0.010863997973501682,0.0005
114.0,0.007388056703805924,0.007795904763042927,0.010852799750864506,0.0005
115.0,0.007387051397114992,0.007805823814123869,0.010852408595383167,0.0005
116.0,0.007388486803770065,0.007801031693816185,0.010852604173123837,0.0005
117.0,0.007384656370133162,0.007792517077177763,0.010870507918298244,0.0005
118.0,0.007383736873865128,0.007811082061380148,0.010858789086341858,0.0005
119.0,0.007383205762803554,0.007783297915011644,0.010851171799004078,0.0005
120.0,0.007384500907957554,0.007797085680067539,0.010856770910322666,0.0005
121.0,0.007382814318537712,0.007784465327858925,0.010847396217286587,0.0005
122.0,0.007381063200086355,0.007788461167365313,0.010855534113943577,0.0005
123.0,0.007382106546908617,0.0078123039565980434,0.010840625502169132,0.0005
124.0,0.00738103895932436,0.0078092534095048904,0.010846354067325592,0.0005
125.0,0.0073787376956641676,0.007789401337504387,0.01084921881556511,0.0005
126.0,0.007379639902561903,0.007788456976413727,0.010846680030226707,0.0005
127.0,0.007374903722405434,0.007786043453961611,0.010851887986063957,0.0005
128.0,0.007375633221715689,0.0077955820597708225,0.010847200639545918,0.0005
129.0,0.007373022842556238,0.007794426754117012,0.0108555993065238,0.0005
130.0,0.007373596539646387,0.007801277097314596,0.010849804617464542,0.0005
131.0,0.0073732842805981635,0.007779136300086975,0.010854297317564487,0.0005
132.0,0.007373136359751224,0.007788120303303003,0.01085787732154131,0.0005
133.0,0.007373132018446922,0.007776067592203617,0.010851106606423855,0.0005
134.0,0.007368822369128465,0.007784164976328611,0.010850716382265091,0.0005
135.0,0.007368153379708528,0.007797356229275465,0.01084401085972786,0.0005
136.0,0.007367917730510235,0.007782565429806709,0.010850716382265091,0.0005
137.0,0.007370653208643198,0.007781527005136013,0.010840103961527348,0.0005
138.0,0.007365658974349498,0.007781959604471922,0.010852279141545296,0.0005
139.0,0.007364974590539932,0.0077903736382722855,0.010832161642611027,0.0005
140.0,0.007364454698562622,0.0077865999191999435,0.010844921693205833,0.0005
141.0,0.00736289236754179,0.007776136510074139,0.010859895497560501,0.0005
142.0,0.00736454490095377,0.007778397761285305,0.01084817759692669,0.0005
143.0,0.0073626903799176215,0.007817075587809086,0.010842903517186642,0.0005
144.0,0.00736571822553873,0.007812297437340021,0.010831835679709911,0.0005
145.0,0.0073584097103774546,0.007797540165483952,0.010842968709766865,0.0005
146.0,0.007360376222133636,0.007775638718158007,0.010831380262970924,0.0005
147.0,0.007357883511930704,0.007787719368934631,0.010851367376744747,0.0005
148.0,0.007358526866883039,0.007790671661496162,0.010847005061805248,0.0005
149.0,0.007356508709639311,0.007803044747561216,0.01083619799464941,0.0005
150.0,0.007357158602774143,0.007780520711094141,0.01084485650062561,0.0005
151.0,0.007355835903435946,0.007773581892251968,0.010845637880265713,0.0005
152.0,0.007355080747902394,0.007787146605551243,0.010834896005690098,0.0005
153.0,0.007351742614358663,0.007773757912218571,0.010844466276466846,0.0005
154.0,0.0073559868837893005,0.0077881705947220325,0.010848047211766243,0.0005
155.0,0.007352175078690052,0.007783640641719103,0.010862955823540688,0.0005
156.0,0.00735051167011261,0.007774380035698414,0.010857031680643559,0.0005
157.0,0.007350281497240066,0.00782051496207714,0.010838411748409271,0.0005
158.0,0.007351954643428325,0.007801685482263565,0.01084557268768549,0.0005
159.0,0.0073476580113172535,0.007770360913127661,0.010831900872290134,0.0005
160.0,0.00735188373208046,0.0077758594416081905,0.010860417038202286,0.0005
161.0,0.007346449213474989,0.007775976322591305,0.010843880474567413,0.0005
162.0,0.007345795670747757,0.00777702871710062,0.01084921881556511,0.0005
163.0,0.007343994625359774,0.007772867567837238,0.010834700427949429,0.0005
164.0,0.007346798251867294,0.007771269418299198,0.010855208151042461,0.0005
165.0,0.007347558135539293,0.007781867403537035,0.010848828591406345,0.0005
166.0,0.007340711145848036,0.007769489660859108,0.01083222683519125,0.0005
167.0,0.007342997293323278,0.007773810066282749,0.010844205506145954,0.0005
168.0,0.007341354217529297,0.007772452663630247,0.010852538980543613,0.0005
169.0,0.007341097639203072,0.007773955352604389,0.010840103961527348,0.0005
170.0,0.007340211072564125,0.007781864609569311,0.010845117270946503,0.0005
171.0,0.007340677116215229,0.007785225287079811,0.010848437435925007,0.0005
