snr_db,ComNet-CE,LMMSE,LS
0.0,-1.406632233838704,-1.4090335024867875,5.221031411255264
5.0,-6.306770768209791,-6.314378450497244,0.22103742405872165
10.0,-11.008895620437208,-11.028009143333987,-4.778961431452605
15.0,-15.222857511555233,-15.22977483429709,-9.778968849315095
20.0,-18.865373507309933,-18.94243278735133,-14.77896755793835
25.0,-22.246348096960208,-22.586983811022023,-19.778963006466643
30.0,-25.708938469959897,-26.284867688969523,-24.778976978642614
35.0,-29.97882047726459,-30.336771413872718,-29.778971463223527
40.0,-34.788719724653944,-34.87184251147535,-34.77896748196501
