snr_db,ComNet-CE,LMMSE,LS
0.0,-3.7138760032674485,-3.7162771322213266,2.913787663040437
5.0,-8.614014442314351,-8.621622045413917,-2.08620620593995
10.0,-13.316139230165385,-13.335252856771508,-7.086205071623274
15.0,-17.530101012991047,-17.537018554800884,-12.086212453531465
20.0,-21.17261716745636,-21.249676495327314,-17.086211126069337
25.0,-24.553591837780196,-24.89422733300099,-22.086206722373586
30.0,-28.016182179763426,-28.59211108144283,-27.086220586158213
35.0,-32.28606386010413,-32.64401501972249,-32.086215224643475
40.0,-37.09596327189069,-37.17908607889359,-37.08621125054406
