epoch,train_loss,val_loss,lr
1.0,0.004158140383064747,0.004454716574400663,0.001
2.0,0.004156392114832997,0.0044545638374984264,0.001
3.0,0.004156402908712625,0.0044546546414494514,0.001
4.0,0.004156373390108347,0.004454634618014097,0.001
5.0,0.004156317508667707,0.004454674664884806,0.001
6.0,0.004156230303347111,0.0044547561556100845,0.001
7.0,0.004156182939559222,0.004455225076526403,0.001
8.0,0.004156434006392956,0.004454822279512882,0.001
9.0,0.0041564169443398715,0.004454789683222771,0.001
10.0,0.00415655350714922,0.0044548362493515015,0.001
11.0,0.004156407327502966,0.004454899579286575,0.001
12.0,0.004156403927206993,0.004454759880900383,0.001
13.0,0.0041565371985733505,0.004454684443771839,0.001
14.0,0.004156347340792417,0.0044547212310135365,0.001
15.0,0.004156437337249517,0.0044547682628035545,0.001
16.0,0.004156523108184338,0.0044546835124492645,0.001
17.0,0.00415627936348319,0.0044544958509504795,0.001
18.0,0.004156435213387013,0.004454670008271933,0.001
19.0,0.004156363370269537,0.004454844631254673,0.001
20.0,0.004156417645663023,0.004454878158867359,0.001
21.0,0.00415640943646431,0.0044547696597874165,0.001
22.0,0.004156421304494142,0.0044545624405145645,0.001
23.0,0.004156438592374325,0.004454680718481541,0.001
24.0,0.004156440673917532,0.004454610403627157,0.001
25.0,0.004156396107524633,0.004454685840755701,0.0005
26.0,0.004155771513730287,0.004454047419130802,0.0005
27.0,0.004155976588129997,0.004454038571566343,0.0005
28.0,0.004155631228536368,0.004453975707292557,0.0005
29.0,0.004155646771043539,0.004454060923308134,0.0005
30.0,0.004155652889758349,0.004453989677131176,0.0005
31.0,0.004156114990413189,0.004454038105905056,0.0005
32.0,0.004155774426907301,0.004454007837921381,0.0005
33.0,0.004155749296098948,0.00445401668548584,0.0005
34.0,0.004155652397274971,0.004453966859728098,0.0005
35.0,0.004155623278617859,0.004454005043953657,0.0005
36.0,0.004155722296237945,0.004454007372260094,0.0005
37.0,0.004155735619217157,0.0044539994560182095,0.0005
38.0,0.0041556534479558465,0.004454031120985746,0.0005
39.0,0.004155774004608393,0.004454025998711586,0.0005
40.0,0.004155720656514168,0.0044540283270180225,0.0005
41.0,0.004155578692704439,0.004454001784324646,0.0005
42.0,0.004155926083773374,0.004454055801033974,0.0005
43.0,0.00415575734809041,0.0044540707021951675,0.0005
44.0,0.0041556705249845985,0.004454062320291996,0.0005
45.0,0.004155583707839251,0.004454102832823992,0.0005
46.0,0.004155606693476439,0.004454033449292183,0.0005
47.0,0.004155698846429586,0.00445400457829237,0.0005
48.0,0.004155737871676684,0.004454000387340784,0.0005
49.0,0.004155675949901343,0.004454081412404776,0.0005
50.0,0.004155807719752193,0.004454093985259533,0.00025
