snr_db,ComNet-CE,LMMSE,LS
0.0,-1.2543527161793708,-1.2564119380534997,5.223566533004225
5.0,-6.149736969066564,-6.156444424284119,0.2245525321430271
10.0,-10.838422549693448,-10.854199007095865,-4.772312192906018
15.0,-15.023139247199861,-15.016366946326015,-9.76237552158313
20.0,-18.69192651472717,-18.70278837274943,-14.731016318553884
25.0,-22.13978089785599,-22.297855458181246,-19.633194355952977
30.0,-25.60442960136998,-25.95886919296504,-24.33740232660484
35.0,-29.458189509338748,-29.983917111244295,-28.515700220215486
40.0,-33.03249087305715,-34.56365907845019,-31.625727836975184
