snr_db,ComNet-CE,LMMSE,LS
0.0,-3.5609374774810867,-3.562996713700357,2.916981667540966
5.0,-8.456321784049926,-8.46302925418927,-2.0820324871609373
10.0,-13.145007460762749,-13.160783759609014,-7.078896937911541
15.0,-17.32972392596591,-17.32295171161563,-12.068960280755782
20.0,-20.998511322635824,-21.009373169062627,-17.03760113922373
25.0,-24.4463656327097,-24.604440400682748,-21.93977929168152
30.0,-27.911014400746282,-28.265453842985618,-26.643987198900607
35.0,-31.76477417913235,-32.29050198430312,-30.82228507390588
40.0,-35.33907575862608,-36.870243866305884,-33.932312836302124
