epoch,train_loss,val_loss,lr
74.0,5.321015842127963e-06,5.32874128111871e-06,0.001
75.0,5.322781235008734e-06,5.29967019247124e-06,0.001
76.0,5.311205577527289e-06,5.376458375394577e-06,0.001
77.0,5.3356159332906825e-06,5.4150805226527154e-06,0.001
78.0,5.328966208253405e-06,5.309164407663047e-06,0.001
79.0,5.338693545127171e-06,5.354241238819668e-06,0.001
80.0,5.343829243429354e-06,5.297775260260096e-06,0.001
81.0,5.307677483870066e-06,5.334993147698697e-06,0.001
82.0,5.337182883522473e-06,5.38027143193176e-06,0.001
83.0,5.322021352185402e-06,5.413932740339078e-06,0.001
84.0,5.35757601937803e-06,5.335171408660244e-06,0.001
85.0,5.337459570000647e-06,5.363736818253528e-06,0.001
86.0,5.36113245289016e-06,5.451177457871381e-06,0.001
87.0,5.350555893528508e-06,5.319824140315177e-06,0.001
88.0,5.3525651674135585e-06,5.322289780451683e-06,0.001
89.0,5.3512359318119706e-06,5.38898711965885e-06,0.001
90.0,5.3830249817110594e-06,5.507406513061142e-06,0.001
91.0,5.348807544578449e-06,5.354118002287578e-06,0.001
92.0,5.350400560928392e-06,5.5144682846730575e-06,0.001
93.0,5.387651908677071e-06,5.327907729224535e-06,0.001
94.0,5.338335740816546e-06,5.296292329148855e-06,0.001
95.0,5.346522457330139e-06,5.377096840675222e-06,0.001
96.0,5.313186229614075e-06,5.44047088624211e-06,0.001
97.0,5.331630500222673e-06,5.337894890544703e-06,0.001
98.0,5.361239600460977e-06,5.307189894665498e-06,0.001
99.0,5.32581658262643e-06,5.300806151353754e-06,0.001
100.0,5.331418597052107e-06,5.533755484066205e-06,0.0001
101.0,5.06466613842349e-06,5.050600975664565e-06,0.0001
102.0,5.014833777750027e-06,5.053634595242329e-06,0.0001
103.0,5.017549628973939e-06,5.047665126767242e-06,0.0001
104.0,5.016626819269731e-06,5.044525096309371e-06,0.0001
105.0,5.013975023757666e-06,5.044882982474519e-06,0.0001
106.0,5.017085240979213e-06,5.045475518272724e-06,0.0001
107.0,5.018261308578076e-06,5.049987066740869e-06,0.0001
108.0,5.019145246478729e-06,5.050306754128542e-06,0.0001
109.0,5.0179210938949835e-06,5.053067980043124e-06,0.0001
110.0,5.019418713345658e-06,5.045324996899581e-06,0.0001
111.0,5.0176570948679e-06,5.045236321166158e-06,0.0001
112.0,5.019109512431896e-06,5.056541340309195e-06,0.0001
113.0,5.020727521696244e-06,5.063297521701315e-06,0.0001
114.0,5.020487496949499e-06,5.055193923908519e-06,0.0001
115.0,5.022140157961985e-06,5.054144367022673e-06,0.0001
116.0,5.023061366955517e-06,5.056735062680673e-06,0.0001
117.0,5.022805735279689e-06,5.057640919403639e-06,0.0001
