snr_db,ComNet-CE,LMMSE,LS
0.0,-3.551321529463096,-3.553613207975606,2.845987676282604
5.0,-8.431835815519724,-8.439091420001835,-2.1499957795612374
10.0,-13.078555177804908,-13.09515487273427,-7.137302778513801
15.0,-17.167992583556362,-17.15757900080175,-12.097353815825745
20.0,-20.669457605444514,-20.665264200383664,-16.97329692865632
25.0,-23.94521526202904,-24.037886720703145,-21.602657418423384
30.0,-27.126889031321472,-27.436078956400966,-25.603286523430143
35.0,-30.04057727747981,-30.74517805634761,-28.428155838892188
40.0,-31.9279061834073,-33.291526740394964,-29.914117561073567
