snr_db,ComNet-CE,LMMSE,LS
0.0,-1.244568002915574,-1.2468599054385423,5.152741027033035
5.0,-6.12508228224526,-6.13233789160639,0.15675774640985798
10.0,-10.771801795646098,-10.788401382633939,-4.830549350732357
15.0,-14.861239320181973,-14.850825407272378,-9.790600309412925
20.0,-18.362704066953235,-18.358510781759247,-14.666543399968353
25.0,-21.63846190128026,-21.73113320802127,-19.295904031401598
30.0,-24.820135703130237,-25.129325637296095,-23.29653321265291
35.0,-27.733823857908035,-28.438424555644907,-26.121402420341763
40.0,-29.621152710165852,-30.984773192423113,-27.607364092132897
