snr_db,ComNet-CE,LMMSE,LS
0.0,-1.2821271279223432,-1.284073617823491,5.152682544664058
5.0,-6.1757365324710065,-6.181863125633756,0.1566958246319145
10.0,-10.859071618823261,-10.873145079228754,-4.830611151247786
15.0,-15.02957441047474,-15.019599393629854,-9.790662595198029
20.0,-18.663523094326152,-18.668413632466528,-14.66659030682305
25.0,-21.998067632861545,-22.162254166880594,-19.295904375335397
30.0,-25.05960408275081,-25.531219158249762,-23.296402743396726
35.0,-27.82542410658657,-28.70900101496565,-26.12104849381812
40.0,-29.65198015375136,-31.241497257231213,-27.60680167304551
