snr_db,ComNet-CE,LMMSE,LS
0.0,-3.588712060666119,-3.590658535023377,2.846097713642232
5.0,-8.482321249023107,-8.488447915518273,-2.1498889873973868
10.0,-13.165656515730653,-13.179729764904122,-7.137196128034896
15.0,-17.33615899175208,-17.326184300299296,-12.09724739085993
20.0,-20.97010782678793,-20.974998574841315,-16.973175330153435
25.0,-24.304652548374396,-24.46883895709835,-21.602489136441704
30.0,-27.366189076991283,-27.837804069276366,-25.60298736740772
35.0,-30.13200896967906,-31.015585924672884,-28.427633247304264
40.0,-31.958564783035413,-33.54808215296611,-29.913386567988244
